v1	I(D1)
3.016700000000017e-001	5.378104e-006
3.016800000000017e-001	5.379626e-006
3.016900000000017e-001	5.381148e-006
3.017000000000017e-001	5.382670e-006
3.017100000000017e-001	5.384193e-006
3.017200000000017e-001	5.385717e-006
3.017300000000017e-001	5.387240e-006
3.017400000000017e-001	5.388764e-006
3.017500000000017e-001	5.390289e-006
3.017600000000018e-001	5.391814e-006
3.017700000000018e-001	5.393340e-006
3.017800000000018e-001	5.394865e-006
3.017900000000018e-001	5.396392e-006
3.018000000000018e-001	5.397918e-006
3.018100000000018e-001	5.399445e-006
3.018200000000018e-001	5.400973e-006
3.018300000000018e-001	5.402501e-006
3.018400000000018e-001	5.404030e-006
3.018500000000018e-001	5.405559e-006
3.018600000000019e-001	5.407088e-006
3.018700000000019e-001	5.408618e-006
3.018800000000019e-001	5.410148e-006
3.018900000000019e-001	5.411679e-006
3.019000000000019e-001	5.413210e-006
3.019100000000019e-001	5.414741e-006
3.019200000000019e-001	5.416273e-006
3.019300000000019e-001	5.417805e-006
3.019400000000019e-001	5.419338e-006
3.019500000000019e-001	5.420872e-006
3.019600000000020e-001	5.422405e-006
3.019700000000020e-001	5.423939e-006
3.019800000000020e-001	5.425474e-006
3.019900000000020e-001	5.427009e-006
3.020000000000020e-001	5.428544e-006
3.020100000000020e-001	5.430080e-006
3.020200000000020e-001	5.431617e-006
3.020300000000020e-001	5.433153e-006
3.020400000000020e-001	5.434690e-006
3.020500000000020e-001	5.436228e-006
3.020600000000021e-001	5.437766e-006
3.020700000000021e-001	5.439304e-006
3.020800000000021e-001	5.440843e-006
3.020900000000021e-001	5.442383e-006
3.021000000000021e-001	5.443922e-006
3.021100000000021e-001	5.445463e-006
3.021200000000021e-001	5.447003e-006
3.021300000000021e-001	5.448544e-006
3.021400000000021e-001	5.450086e-006
3.021500000000021e-001	5.451628e-006
3.021600000000022e-001	5.453170e-006
3.021700000000022e-001	5.454713e-006
3.021800000000022e-001	5.456256e-006
3.021900000000022e-001	5.457800e-006
3.022000000000022e-001	5.459344e-006
3.022100000000022e-001	5.460889e-006
3.022200000000022e-001	5.462433e-006
3.022300000000022e-001	5.463979e-006
3.022400000000022e-001	5.465525e-006
3.022500000000022e-001	5.467071e-006
3.022600000000023e-001	5.468618e-006
3.022700000000023e-001	5.470165e-006
3.022800000000023e-001	5.471713e-006
3.022900000000023e-001	5.473261e-006
3.023000000000023e-001	5.474809e-006
3.023100000000023e-001	5.476358e-006
3.023200000000023e-001	5.477908e-006
3.023300000000023e-001	5.479457e-006
3.023400000000023e-001	5.481008e-006
3.023500000000023e-001	5.482558e-006
3.023600000000024e-001	5.484109e-006
3.023700000000024e-001	5.485661e-006
3.023800000000024e-001	5.487213e-006
3.023900000000024e-001	5.488766e-006
3.024000000000024e-001	5.490318e-006
3.024100000000024e-001	5.491872e-006
3.024200000000024e-001	5.493425e-006
3.024300000000024e-001	5.494980e-006
3.024400000000024e-001	5.496534e-006
3.024500000000024e-001	5.498089e-006
3.024600000000025e-001	5.499645e-006
3.024700000000025e-001	5.501201e-006
3.024800000000025e-001	5.502757e-006
3.024900000000025e-001	5.504314e-006
3.025000000000025e-001	5.505871e-006
3.025100000000025e-001	5.507429e-006
3.025200000000025e-001	5.508987e-006
3.025300000000025e-001	5.510546e-006
3.025400000000025e-001	5.512105e-006
3.025500000000025e-001	5.513664e-006
3.025600000000026e-001	5.515225e-006
3.025700000000026e-001	5.516785e-006
3.025800000000026e-001	5.518345e-006
3.025900000000026e-001	5.519907e-006
3.026000000000026e-001	5.521469e-006
3.026100000000026e-001	5.523031e-006
3.026200000000026e-001	5.524593e-006
3.026300000000026e-001	5.526156e-006
3.026400000000026e-001	5.527720e-006
3.026500000000026e-001	5.529283e-006
3.026600000000027e-001	5.530848e-006
3.026700000000027e-001	5.532413e-006
3.026800000000027e-001	5.533978e-006
3.026900000000027e-001	5.535544e-006
3.027000000000027e-001	5.537110e-006
3.027100000000027e-001	5.538676e-006
3.027200000000027e-001	5.540243e-006
3.027300000000027e-001	5.541811e-006
3.027400000000027e-001	5.543378e-006
3.027500000000027e-001	5.544947e-006
3.027600000000028e-001	5.546516e-006
3.027700000000028e-001	5.548085e-006
3.027800000000028e-001	5.549655e-006
3.027900000000028e-001	5.551225e-006
3.028000000000028e-001	5.552795e-006
3.028100000000028e-001	5.554366e-006
3.028200000000028e-001	5.555938e-006
3.028300000000028e-001	5.557510e-006
3.028400000000028e-001	5.559082e-006
3.028500000000028e-001	5.560655e-006
3.028600000000029e-001	5.562228e-006
3.028700000000029e-001	5.563802e-006
3.028800000000029e-001	5.565376e-006
3.028900000000029e-001	5.566950e-006
3.029000000000029e-001	5.568525e-006
3.029100000000029e-001	5.570101e-006
3.029200000000029e-001	5.571676e-006
3.029300000000029e-001	5.573253e-006
3.029400000000029e-001	5.574830e-006
3.029500000000029e-001	5.576407e-006
3.029600000000030e-001	5.577985e-006
3.029700000000030e-001	5.579563e-006
3.029800000000030e-001	5.581141e-006
3.029900000000030e-001	5.582720e-006
3.030000000000030e-001	5.584300e-006
3.030100000000030e-001	5.585880e-006
3.030200000000030e-001	5.587460e-006
3.030300000000030e-001	5.589041e-006
3.030400000000030e-001	5.590622e-006
3.030500000000030e-001	5.592204e-006
3.030600000000031e-001	5.593786e-006
3.030700000000031e-001	5.595368e-006
3.030800000000031e-001	5.596952e-006
3.030900000000031e-001	5.598535e-006
3.031000000000031e-001	5.600119e-006
3.031100000000031e-001	5.601703e-006
3.031200000000031e-001	5.603288e-006
3.031300000000031e-001	5.604873e-006
3.031400000000031e-001	5.606459e-006
3.031500000000031e-001	5.608045e-006
3.031600000000032e-001	5.609632e-006
3.031700000000032e-001	5.611219e-006
3.031800000000032e-001	5.612806e-006
3.031900000000032e-001	5.614394e-006
3.032000000000032e-001	5.615983e-006
3.032100000000032e-001	5.617572e-006
3.032200000000032e-001	5.619161e-006
3.032300000000032e-001	5.620751e-006
3.032400000000032e-001	5.622341e-006
3.032500000000032e-001	5.623932e-006
3.032600000000033e-001	5.625523e-006
3.032700000000033e-001	5.627115e-006
3.032800000000033e-001	5.628706e-006
3.032900000000033e-001	5.630299e-006
3.033000000000033e-001	5.631892e-006
3.033100000000033e-001	5.633485e-006
3.033200000000033e-001	5.635079e-006
3.033300000000033e-001	5.636673e-006
3.033400000000033e-001	5.638268e-006
3.033500000000033e-001	5.639863e-006
3.033600000000034e-001	5.641459e-006
3.033700000000034e-001	5.643055e-006
3.033800000000034e-001	5.644652e-006
3.033900000000034e-001	5.646249e-006
3.034000000000034e-001	5.647846e-006
3.034100000000034e-001	5.649444e-006
3.034200000000034e-001	5.651042e-006
3.034300000000034e-001	5.652641e-006
3.034400000000034e-001	5.654240e-006
3.034500000000034e-001	5.655840e-006
3.034600000000035e-001	5.657440e-006
3.034700000000035e-001	5.659041e-006
3.034800000000035e-001	5.660642e-006
3.034900000000035e-001	5.662243e-006
3.035000000000035e-001	5.663845e-006
3.035100000000035e-001	5.665448e-006
3.035200000000035e-001	5.667050e-006
3.035300000000035e-001	5.668654e-006
3.035400000000035e-001	5.670257e-006
3.035500000000035e-001	5.671862e-006
3.035600000000036e-001	5.673466e-006
3.035700000000036e-001	5.675071e-006
3.035800000000036e-001	5.676677e-006
3.035900000000036e-001	5.678283e-006
3.036000000000036e-001	5.679889e-006
3.036100000000036e-001	5.681497e-006
3.036200000000036e-001	5.683104e-006
3.036300000000036e-001	5.684712e-006
3.036400000000036e-001	5.686320e-006
3.036500000000036e-001	5.687929e-006
3.036600000000037e-001	5.689538e-006
3.036700000000037e-001	5.691148e-006
3.036800000000037e-001	5.692758e-006
3.036900000000037e-001	5.694369e-006
3.037000000000037e-001	5.695979e-006
3.037100000000037e-001	5.697591e-006
3.037200000000037e-001	5.699203e-006
3.037300000000037e-001	5.700815e-006
3.037400000000037e-001	5.702428e-006
3.037500000000037e-001	5.704042e-006
3.037600000000038e-001	5.705655e-006
3.037700000000038e-001	5.707269e-006
3.037800000000038e-001	5.708884e-006
3.037900000000038e-001	5.710499e-006
3.038000000000038e-001	5.712115e-006
3.038100000000038e-001	5.713731e-006
3.038200000000038e-001	5.715347e-006
3.038300000000038e-001	5.716965e-006
3.038400000000038e-001	5.718582e-006
3.038500000000038e-001	5.720200e-006
3.038600000000039e-001	5.721818e-006
3.038700000000039e-001	5.723437e-006
3.038800000000039e-001	5.725056e-006
3.038900000000039e-001	5.726676e-006
3.039000000000039e-001	5.728296e-006
3.039100000000039e-001	5.729917e-006
3.039200000000039e-001	5.731538e-006
3.039300000000039e-001	5.733159e-006
3.039400000000039e-001	5.734782e-006
3.039500000000039e-001	5.736404e-006
3.039600000000040e-001	5.738027e-006
3.039700000000040e-001	5.739650e-006
3.039800000000040e-001	5.741274e-006
3.039900000000040e-001	5.742898e-006
3.040000000000040e-001	5.744523e-006
3.040100000000040e-001	5.746148e-006
3.040200000000040e-001	5.747774e-006
3.040300000000040e-001	5.749400e-006
3.040400000000040e-001	5.751027e-006
3.040500000000040e-001	5.752654e-006
3.040600000000041e-001	5.754282e-006
3.040700000000041e-001	5.755910e-006
3.040800000000041e-001	5.757538e-006
3.040900000000041e-001	5.759167e-006
3.041000000000041e-001	5.760796e-006
3.041100000000041e-001	5.762426e-006
3.041200000000041e-001	5.764056e-006
3.041300000000041e-001	5.765687e-006
3.041400000000041e-001	5.767318e-006
3.041500000000041e-001	5.768950e-006
3.041600000000042e-001	5.770582e-006
3.041700000000042e-001	5.772215e-006
3.041800000000042e-001	5.773848e-006
3.041900000000042e-001	5.775481e-006
3.042000000000042e-001	5.777115e-006
3.042100000000042e-001	5.778750e-006
3.042200000000042e-001	5.780385e-006
3.042300000000042e-001	5.782020e-006
3.042400000000042e-001	5.783656e-006
3.042500000000042e-001	5.785292e-006
3.042600000000043e-001	5.786929e-006
3.042700000000043e-001	5.788566e-006
3.042800000000043e-001	5.790204e-006
3.042900000000043e-001	5.791842e-006
3.043000000000043e-001	5.793481e-006
3.043100000000043e-001	5.795120e-006
3.043200000000043e-001	5.796759e-006
3.043300000000043e-001	5.798399e-006
3.043400000000043e-001	5.800040e-006
3.043500000000043e-001	5.801681e-006
3.043600000000044e-001	5.803322e-006
3.043700000000044e-001	5.804964e-006
3.043800000000044e-001	5.806606e-006
3.043900000000044e-001	5.808249e-006
3.044000000000044e-001	5.809892e-006
3.044100000000044e-001	5.811536e-006
3.044200000000044e-001	5.813180e-006
3.044300000000044e-001	5.814825e-006
3.044400000000044e-001	5.816470e-006
3.044500000000044e-001	5.818115e-006
3.044600000000045e-001	5.819762e-006
3.044700000000045e-001	5.821408e-006
3.044800000000045e-001	5.823055e-006
3.044900000000045e-001	5.824702e-006
3.045000000000045e-001	5.826350e-006
3.045100000000045e-001	5.827999e-006
3.045200000000045e-001	5.829648e-006
3.045300000000045e-001	5.831297e-006
3.045400000000045e-001	5.832946e-006
3.045500000000045e-001	5.834597e-006
3.045600000000046e-001	5.836248e-006
3.045700000000046e-001	5.837899e-006
3.045800000000046e-001	5.839550e-006
3.045900000000046e-001	5.841202e-006
3.046000000000046e-001	5.842855e-006
3.046100000000046e-001	5.844508e-006
3.046200000000046e-001	5.846161e-006
3.046300000000046e-001	5.847816e-006
3.046400000000046e-001	5.849470e-006
3.046500000000046e-001	5.851125e-006
3.046600000000047e-001	5.852780e-006
3.046700000000047e-001	5.854436e-006
3.046800000000047e-001	5.856093e-006
3.046900000000047e-001	5.857749e-006
3.047000000000047e-001	5.859406e-006
3.047100000000047e-001	5.861064e-006
3.047200000000047e-001	5.862722e-006
3.047300000000047e-001	5.864381e-006
3.047400000000047e-001	5.866040e-006
3.047500000000047e-001	5.867700e-006
3.047600000000048e-001	5.869360e-006
3.047700000000048e-001	5.871021e-006
3.047800000000048e-001	5.872681e-006
3.047900000000048e-001	5.874343e-006
3.048000000000048e-001	5.876005e-006
3.048100000000048e-001	5.877667e-006
3.048200000000048e-001	5.879330e-006
3.048300000000048e-001	5.880994e-006
3.048400000000048e-001	5.882658e-006
3.048500000000048e-001	5.884322e-006
3.048600000000049e-001	5.885986e-006
3.048700000000049e-001	5.887652e-006
3.048800000000049e-001	5.889317e-006
3.048900000000049e-001	5.890984e-006
3.049000000000049e-001	5.892650e-006
3.049100000000049e-001	5.894317e-006
3.049200000000049e-001	5.895985e-006
3.049300000000049e-001	5.897653e-006
3.049400000000049e-001	5.899322e-006
3.049500000000049e-001	5.900991e-006
3.049600000000050e-001	5.902660e-006
3.049700000000050e-001	5.904330e-006
3.049800000000050e-001	5.906001e-006
3.049900000000050e-001	5.907671e-006
3.050000000000050e-001	5.909343e-006
3.050100000000050e-001	5.911015e-006
3.050200000000050e-001	5.912687e-006
3.050300000000050e-001	5.914360e-006
3.050400000000050e-001	5.916033e-006
3.050500000000050e-001	5.917707e-006
3.050600000000051e-001	5.919381e-006
3.050700000000051e-001	5.921056e-006
3.050800000000051e-001	5.922731e-006
3.050900000000051e-001	5.924407e-006
3.051000000000051e-001	5.926083e-006
3.051100000000051e-001	5.927760e-006
3.051200000000051e-001	5.929436e-006
3.051300000000051e-001	5.931114e-006
3.051400000000051e-001	5.932792e-006
3.051500000000051e-001	5.934470e-006
3.051600000000052e-001	5.936149e-006
3.051700000000052e-001	5.937829e-006
3.051800000000052e-001	5.939509e-006
3.051900000000052e-001	5.941189e-006
3.052000000000052e-001	5.942870e-006
3.052100000000052e-001	5.944551e-006
3.052200000000052e-001	5.946233e-006
3.052300000000052e-001	5.947915e-006
3.052400000000052e-001	5.949598e-006
3.052500000000052e-001	5.951281e-006
3.052600000000053e-001	5.952965e-006
3.052700000000053e-001	5.954649e-006
3.052800000000053e-001	5.956334e-006
3.052900000000053e-001	5.958019e-006
3.053000000000053e-001	5.959705e-006
3.053100000000053e-001	5.961391e-006
3.053200000000053e-001	5.963077e-006
3.053300000000053e-001	5.964765e-006
3.053400000000053e-001	5.966452e-006
3.053500000000053e-001	5.968140e-006
3.053600000000054e-001	5.969828e-006
3.053700000000054e-001	5.971518e-006
3.053800000000054e-001	5.973207e-006
3.053900000000054e-001	5.974897e-006
3.054000000000054e-001	5.976587e-006
3.054100000000054e-001	5.978278e-006
3.054200000000054e-001	5.979970e-006
3.054300000000054e-001	5.981661e-006
3.054400000000054e-001	5.983353e-006
3.054500000000054e-001	5.985046e-006
3.054600000000055e-001	5.986739e-006
3.054700000000055e-001	5.988433e-006
3.054800000000055e-001	5.990128e-006
3.054900000000055e-001	5.991822e-006
3.055000000000055e-001	5.993517e-006
3.055100000000055e-001	5.995213e-006
3.055200000000055e-001	5.996909e-006
3.055300000000055e-001	5.998606e-006
3.055400000000055e-001	6.000303e-006
3.055500000000055e-001	6.002001e-006
3.055600000000056e-001	6.003699e-006
3.055700000000056e-001	6.005397e-006
3.055800000000056e-001	6.007096e-006
3.055900000000056e-001	6.008795e-006
3.056000000000056e-001	6.010496e-006
3.056100000000056e-001	6.012196e-006
3.056200000000056e-001	6.013897e-006
3.056300000000056e-001	6.015599e-006
3.056400000000056e-001	6.017300e-006
3.056500000000056e-001	6.019003e-006
3.056600000000057e-001	6.020706e-006
3.056700000000057e-001	6.022409e-006
3.056800000000057e-001	6.024113e-006
3.056900000000057e-001	6.025817e-006
3.057000000000057e-001	6.027522e-006
3.057100000000057e-001	6.029227e-006
3.057200000000057e-001	6.030933e-006
3.057300000000057e-001	6.032639e-006
3.057400000000057e-001	6.034346e-006
3.057500000000057e-001	6.036053e-006
3.057600000000058e-001	6.037761e-006
3.057700000000058e-001	6.039469e-006
3.057800000000058e-001	6.041178e-006
3.057900000000058e-001	6.042887e-006
3.058000000000058e-001	6.044596e-006
3.058100000000058e-001	6.046307e-006
3.058200000000058e-001	6.048017e-006
3.058300000000058e-001	6.049728e-006
3.058400000000058e-001	6.051440e-006
3.058500000000058e-001	6.053152e-006
3.058600000000059e-001	6.054864e-006
3.058700000000059e-001	6.056577e-006
3.058800000000059e-001	6.058291e-006
3.058900000000059e-001	6.060005e-006
3.059000000000059e-001	6.061719e-006
3.059100000000059e-001	6.063434e-006
3.059200000000059e-001	6.065150e-006
3.059300000000059e-001	6.066865e-006
3.059400000000059e-001	6.068582e-006
3.059500000000059e-001	6.070299e-006
3.059600000000060e-001	6.072016e-006
3.059700000000060e-001	6.073734e-006
3.059800000000060e-001	6.075452e-006
3.059900000000060e-001	6.077171e-006
3.060000000000060e-001	6.078891e-006
3.060100000000060e-001	6.080611e-006
3.060200000000060e-001	6.082331e-006
3.060300000000060e-001	6.084052e-006
3.060400000000060e-001	6.085773e-006
3.060500000000060e-001	6.087495e-006
3.060600000000061e-001	6.089217e-006
3.060700000000061e-001	6.090940e-006
3.060800000000061e-001	6.092663e-006
3.060900000000061e-001	6.094387e-006
3.061000000000061e-001	6.096111e-006
3.061100000000061e-001	6.097835e-006
3.061200000000061e-001	6.099560e-006
3.061300000000061e-001	6.101286e-006
3.061400000000061e-001	6.103012e-006
3.061500000000061e-001	6.104739e-006
3.061600000000062e-001	6.106466e-006
3.061700000000062e-001	6.108194e-006
3.061800000000062e-001	6.109922e-006
3.061900000000062e-001	6.111650e-006
3.062000000000062e-001	6.113379e-006
3.062100000000062e-001	6.115109e-006
3.062200000000062e-001	6.116839e-006
3.062300000000062e-001	6.118570e-006
3.062400000000062e-001	6.120300e-006
3.062500000000062e-001	6.122032e-006
3.062600000000063e-001	6.123764e-006
3.062700000000063e-001	6.125497e-006
3.062800000000063e-001	6.127229e-006
3.062900000000063e-001	6.128963e-006
3.063000000000063e-001	6.130697e-006
3.063100000000063e-001	6.132432e-006
3.063200000000063e-001	6.134167e-006
3.063300000000063e-001	6.135902e-006
3.063400000000063e-001	6.137638e-006
3.063500000000063e-001	6.139374e-006
3.063600000000064e-001	6.141111e-006
3.063700000000064e-001	6.142849e-006
3.063800000000064e-001	6.144587e-006
3.063900000000064e-001	6.146325e-006
3.064000000000064e-001	6.148064e-006
3.064100000000064e-001	6.149803e-006
3.064200000000064e-001	6.151543e-006
3.064300000000064e-001	6.153283e-006
3.064400000000064e-001	6.155024e-006
3.064500000000064e-001	6.156766e-006
3.064600000000065e-001	6.158507e-006
3.064700000000065e-001	6.160250e-006
3.064800000000065e-001	6.161993e-006
3.064900000000065e-001	6.163736e-006
3.065000000000065e-001	6.165480e-006
3.065100000000065e-001	6.167224e-006
3.065200000000065e-001	6.168969e-006
3.065300000000065e-001	6.170714e-006
3.065400000000065e-001	6.172460e-006
3.065500000000065e-001	6.174206e-006
3.065600000000066e-001	6.175953e-006
3.065700000000066e-001	6.177700e-006
3.065800000000066e-001	6.179448e-006
3.065900000000066e-001	6.181196e-006
3.066000000000066e-001	6.182945e-006
3.066100000000066e-001	6.184694e-006
3.066200000000066e-001	6.186444e-006
3.066300000000066e-001	6.188194e-006
3.066400000000066e-001	6.189945e-006
3.066500000000066e-001	6.191696e-006
3.066600000000067e-001	6.193448e-006
3.066700000000067e-001	6.195200e-006
3.066800000000067e-001	6.196953e-006
3.066900000000067e-001	6.198706e-006
3.067000000000067e-001	6.200460e-006
3.067100000000067e-001	6.202214e-006
3.067200000000067e-001	6.203968e-006
3.067300000000067e-001	6.205724e-006
3.067400000000067e-001	6.207480e-006
3.067500000000067e-001	6.209236e-006
3.067600000000068e-001	6.210993e-006
3.067700000000068e-001	6.212750e-006
3.067800000000068e-001	6.214507e-006
3.067900000000068e-001	6.216265e-006
3.068000000000068e-001	6.218024e-006
3.068100000000068e-001	6.219783e-006
3.068200000000068e-001	6.221543e-006
3.068300000000068e-001	6.223303e-006
3.068400000000068e-001	6.225064e-006
3.068500000000068e-001	6.226825e-006
3.068600000000069e-001	6.228587e-006
3.068700000000069e-001	6.230349e-006
3.068800000000069e-001	6.232111e-006
3.068900000000069e-001	6.233875e-006
3.069000000000069e-001	6.235638e-006
3.069100000000069e-001	6.237402e-006
3.069200000000069e-001	6.239167e-006
3.069300000000069e-001	6.240932e-006
3.069400000000069e-001	6.242698e-006
3.069500000000069e-001	6.244464e-006
3.069600000000070e-001	6.246230e-006
3.069700000000070e-001	6.247998e-006
3.069800000000070e-001	6.249765e-006
3.069900000000070e-001	6.251533e-006
3.070000000000070e-001	6.253302e-006
3.070100000000070e-001	6.255071e-006
3.070200000000070e-001	6.256841e-006
3.070300000000070e-001	6.258611e-006
3.070400000000070e-001	6.260382e-006
3.070500000000070e-001	6.262153e-006
3.070600000000071e-001	6.263925e-006
3.070700000000071e-001	6.265697e-006
3.070800000000071e-001	6.267469e-006
3.070900000000071e-001	6.269242e-006
3.071000000000071e-001	6.271016e-006
3.071100000000071e-001	6.272790e-006
3.071200000000071e-001	6.274565e-006
3.071300000000071e-001	6.276340e-006
3.071400000000071e-001	6.278116e-006
3.071500000000071e-001	6.279892e-006
3.071600000000072e-001	6.281668e-006
3.071700000000072e-001	6.283446e-006
3.071800000000072e-001	6.285223e-006
3.071900000000072e-001	6.287002e-006
3.072000000000072e-001	6.288780e-006
3.072100000000072e-001	6.290559e-006
3.072200000000072e-001	6.292339e-006
3.072300000000072e-001	6.294119e-006
3.072400000000072e-001	6.295900e-006
3.072500000000072e-001	6.297681e-006
3.072600000000073e-001	6.299463e-006
3.072700000000073e-001	6.301245e-006
3.072800000000073e-001	6.303028e-006
3.072900000000073e-001	6.304811e-006
3.073000000000073e-001	6.306595e-006
3.073100000000073e-001	6.308379e-006
3.073200000000073e-001	6.310164e-006
3.073300000000073e-001	6.311949e-006
3.073400000000073e-001	6.313735e-006
